Título,Link da Oferta,Desconto,Preço Promocional,Preço Normal
STAR WARS™ Battlefront™ II,https://store.playstation.com/pt-br/product/UP0006-CUSA05770_00-BATTLEFRONTII000,-88%,"R$10,02","R$83,50"
STAR WARS Jedi: Fallen Order™,https://store.playstation.com/pt-br/product/UP0006-PPSA02198_00-RESPAWNSWBIRDDOG,-88%,"R$28,66","R$238,90"
Atualização Deluxe STAR WARS Jedi: Fallen Order™,https://store.playstation.com/pt-br/product/UP0006-CUSA12539_00-JEDIFO1DELUXE000,-50%,"R$26,95","R$53,90"
A Way Out,https://store.playstation.com/pt-br/product/UP0006-CUSA07995_00-HAZELIGHTAWAYOUT,-80%,"R$29,90","R$149,50"
Tom Clancy's Ghost Recon® Breakpoint,https://store.playstation.com/pt-br/product/UP0001-CUSA14405_00-GRW2SCEANORMAL00,-80%,Gratuito,"R$229,99"
Tom Clancy's Ghost Recon® Breakpoint,https://store.playstation.com/pt-br/product/UP0001-CUSA14405_00-TGTSTDBRAZIL0000,-80%,"R$45,99","R$459,90"
Tom Clancy's Ghost Recon® Breakpoint Ultimate Edition,https://store.playstation.com/pt-br/product/UP0001-CUSA14405_00-TGTULT2021000000,-40%,"R$91,98","R$79,90"
The Quarry – Pacote de Conteúdo Bônus da Deluxe,https://store.playstation.com/pt-br/product/UP1001-PPSA05813_00-DELUXESKUCBUNDLE,-75%,"R$47,94","R$349,90"
The Quarry para PS4™,https://store.playstation.com/pt-br/product/UP1001-CUSA31345_00-0732070557554025,-60%,"R$87,47","R$199,50"
Overcooked! All You Can Eat,https://store.playstation.com/pt-br/product/UP4064-PPSA01529_00-4759077947287005,-75%,"R$79,80","R$344,90"
Assassin's Creed Valhalla Deluxe PS4 & PS5,https://store.playstation.com/pt-br/product/UP0001-PPSA01491_00-EDITIONDELUXE000,-75%,"R$86,22","R$479,90"
Assassin's Creed Valhalla Ragnarök Edition PS4 & PS5,https://store.playstation.com/pt-br/product/UP0001-PPSA01491_00-EDITIONYEAR20000,-60%,"R$119,97","R$199,90"
Assassin's Creed Valhalla: Dawn of Ragnarök,https://store.playstation.com/pt-br/product/UP0001-PPSA01491_00-BUNDLEDAY1EXP300,-60%,"R$79,96","R$199,90"
Assassin's Creed Valhalla: Dawn of Ragnarök,https://store.playstation.com/pt-br/product/UP0001-PPSA01491_00-DLCEXPANSION0003,-30%,"R$79,96","R$48,99"
The Sims™ 4 Noite de Boliche Coleção de Objetos,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4BOWLINGNIGHTS,-50%,"R$34,29","R$214,90"
The Sims™ 4 Gatos e Cães + Meu Primeiro Bichinho,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-CDMFPS0000000000,-20%,"R$107,45","R$48,99"
The Sims™ 4 Bundle Um Sonho de Decoração,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4ESSENTBUNDLE2,-20%,"R$199,20","R$249,00"
The Sims™ 4 Vida Universitária,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4DSCUNIVERSITY,-50%,"R$104,50","R$209,00"
The Sims™ 4 Pacote de Jogo Decoração dos Sonhos,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4GP10000000000,-30%,"R$76,30","R$109,00"
The Sims™ 4 Bundle Cotidiano Sims,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4ESSENTBUNDLE3,-20%,"R$199,20","R$249,00"
The Sims™ 4 Pacote de Expansão Aluga-se,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4EP15000000000,-25%,"R$156,75","R$209,00"
The Sims™ 4 Rumo à Fama,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4GETFAMOUSDLC0,-50%,"R$104,50","R$209,00"
The Sims™ 4 Junte-se à Galera,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4GETTOGETHER00,-50%,"R$104,50","R$209,00"
The Sims™ 4 Pacote de Expansão Vida no Ensino Médio,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4EP12000000000,-50%,"R$104,50","R$209,00"
The Sims™ 4 Pacote de Expansão Tomando as Rédeas,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4EP14000000000,-35%,"R$135,85","R$209,00"
The Sims™ 4 Aventuras na Selva,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4JUNGLEADVDLC0,-30%,"R$76,30","R$109,00"
The Sims™ 4 Meu Primeiro Bichinho Coleção de Objetos,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4MYFIRSTPETDLC,-30%,"R$34,29","R$48,99"
The Sims™ 4 Sobrenatural Coleção de Objetos,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4SP18000000000,-30%,"R$34,29","R$48,99"
The Sims™ 4 Coleção de Objetos Terraço Perfeito,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4PERFECTPATIO0,-30%,"R$34,29","R$48,99"
The Sims™ 4 Reino da Magia,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4REALMOFMAGIC0,-30%,"R$76,30","R$109,00"
The Sims™ 4 Jardim Romântico Coleção de Objetos,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4ROMANTICGRDN0,-30%,"R$34,29","R$48,99"
The Sims™ 4 Pacote de Expansão Diversão na Neve,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4EP10000000000,-50%,"R$104,50","R$209,00"
The Sims™ 4 Pacote de Jogo Dia de Spa,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4SPADAY0000000,-30%,"R$76,30","R$109,00"
The Sims™ 4 Assombroso Coleção de Objetos,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4SPOOKYSTUFFSP,-30%,"R$34,29","R$48,99"
The Sims™ 4 Coleção de Objetos Vida Compacta,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4TINYLIVINGSP0,-30%,"R$34,29","R$48,99"
The Sims™ 4 Bebês Coleção de Objetos,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4TODDLERSTUFFP,-30%,"R$34,29","R$48,99"
The Sims™ 4 Vampiros,https://store.playstation.com/pt-br/product/UP0006-CUSA09209_00-TS4VAMPIRESDLC00,-30%,"R$76,30","R$109,00"
